f_id,f_user_id,f_type,f_title,f_content,f_mission_id,f_creator_id,f_is_read,f_created_at
7064e7ef-3296-444a-bdb2-ae124aec82c6,9ad46f8f-0eaf-46fc-9a5c-990f7517e8fb,NEW_MISSION,새로운 미션이 등록되었습니다,[유식과 민경이가 재결합을 하면 좋을 것 같다] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3f42a3c6-c59d-4a72-bd99-599ac1e6802b,651b7438-8cf1-462a-9ef5-99e245d5bf01,true,2026-01-07 06:24:24.85955+00
9d86e5df-8e6b-41ed-a671-30e5c6088d1f,9ad46f8f-0eaf-46fc-9a5c-990f7517e8fb,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3307d737-c04e-4d73-91c1-7e4c4e1b8cb3,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-08 05:47:00.939792+00
9211021e-d96d-4e57-a3c8-948a96074bb0,651b7438-8cf1-462a-9ef5-99e245d5bf01,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 역대급 시즌은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,666d843e-4ccf-437d-bf27-ea288f22b4b8,651b7438-8cf1-462a-9ef5-99e245d5bf01,true,2026-01-07 06:28:37.956936+00
aa4a0a43-68ea-4579-b5da-55a7034cfd0e,594078ff-89be-421e-8f57-0381f2a5f61c,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌 4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3f96a434-e890-4640-89c1-3af9e596a3ce,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-08 05:45:32.739954+00
c527891e-0baa-4268-8325-1844db7b6159,8b588b86-a7e1-47e3-83fc-a09c44df2e7c,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌 4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3f96a434-e890-4640-89c1-3af9e596a3ce,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-08 05:45:32.739954+00
b0cb1f0f-3303-4063-b5a8-51b22ea8f420,be394897-8f75-483a-b7ab-96a9997bf4a2,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌 4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3f96a434-e890-4640-89c1-3af9e596a3ce,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-08 05:45:32.739954+00
571b1f56-b7f0-4e79-ae7a-db79ee46d4d3,0d052205-d5d6-4ab4-971c-0780b2d72b9f,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌 4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3f96a434-e890-4640-89c1-3af9e596a3ce,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-08 05:45:32.739954+00
9dccd0c2-715c-4132-872e-d313d6dfaba4,9ad46f8f-0eaf-46fc-9a5c-990f7517e8fb,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌 4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3f96a434-e890-4640-89c1-3af9e596a3ce,651b7438-8cf1-462a-9ef5-99e245d5bf01,false,2026-01-08 05:45:32.739954+00
eb7fbd7e-8711-478a-9afa-d9c85f31c490,651b7438-8cf1-462a-9ef5-99e245d5bf01,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3307d737-c04e-4d73-91c1-7e4c4e1b8cb3,651b7438-8cf1-462a-9ef5-99e245d5bf01,true,2026-01-08 05:47:00.939792+00
28cfcf80-9c1a-4acc-aeaf-faba5b4f3d12,651b7438-8cf1-462a-9ef5-99e245d5bf01,NEW_MISSION,새로운 미션이 등록되었습니다,[환승연애 시즌 4 최종 커플은?] 미션이 시작되었습니다. 지금 바로 참여해보세요!,3f96a434-e890-4640-89c1-3af9e596a3ce,651b7438-8cf1-462a-9ef5-99e245d5bf01,true,2026-01-08 05:45:32.739954+00
