f_id,f_comment_id,f_user_id,f_created_at
fa230c37-dab9-4d4c-b022-07e82c16d1e7,d5c6b34d-0ab4-4447-ac44-66a88cfe8934,0d052205-d5d6-4ab4-971c-0780b2d72b9f,2025-11-30 06:02:24.920856+00
28f559e4-848f-493e-9538-ff022090d965,6dac9bd0-202f-429c-bff3-b62a8e8661b1,0d052205-d5d6-4ab4-971c-0780b2d72b9f,2025-11-30 06:34:22.460354+00
29afacd1-6df9-42de-b035-28f9d6a7e3bd,d4968711-b3e4-424d-80a4-d0213c6d9816,651b7438-8cf1-462a-9ef5-99e245d5bf01,2025-12-31 04:52:05.723713+00
1b2f0335-93d6-4209-8048-03f4894939f5,4ecf6680-2f43-44c3-92fc-3dc09b628c35,651b7438-8cf1-462a-9ef5-99e245d5bf01,2026-01-08 05:48:46.435341+00
